2012-04-28-01:06:38:712|  INFO|Load                |STARTED
2012-04-28-01:06:40:604|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-28-01:06:40:651|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-28-01:06:40:680|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-28-01:06:40:846|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-28-01:06:40:896|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-28-01:08:09:807|  INFO|Load                |STARTED
2012-04-28-01:08:11:122|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-28-01:08:11:860|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-28-01:08:11:900|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-28-01:08:11:929|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-28-01:08:12:002|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-28-01:09:34:659|  INFO|HttpAPI Plugin      |[127.0.0.1] Login succeeded. UserAgent 'Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0'
2012-04-28-04:26:45:620|  INFO|Load                |STARTED
2012-04-28-04:26:46:981|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-28-04:26:47:693|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-28-04:26:47:736|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-28-04:26:47:764|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-28-04:26:47:837|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-28-04:27:25:187|  INFO|MainForm            |[PROCESSING BUILTIN CMD] CMD_NAME:Repoll all Devices, ARG:
2012-04-29-10:49:02:193|  INFO|Load                |STARTED
2012-04-29-10:49:03:506|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-29-10:49:03:543|  INFO|USB-UIRT Plugin     |USB-UIRT Plugin plugin started.
2012-04-29-10:49:04:178|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-29-10:49:04:220|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-29-10:49:04:248|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-10:49:04:321|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-29-11:13:24:434|  INFO|Load                |STARTED
2012-04-29-11:13:25:736|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-29-11:13:25:775|  INFO|USB-UIRT Plugin     |USB-UIRT Plugin plugin started.
2012-04-29-11:13:26:408|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-29-11:13:26:445|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-29-11:13:26:477|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-11:21:01:606|  INFO|Load                |STARTED
